ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1,0.097710051,16.19762618,1,0.000224673,1,0.005882782,29.23021534,0.045427657,49.36368654,0.0001,1000
1,0.097682863,18.11774006,1,7.56E-05,1,0.003186345,208.9418718,0.006322777,269.0876977,0.0001,1000
1,0.09759412,17.42899911,1,0.000129442,1,0.001724369,93.58908702,0.002722896,161.680546,0.0001,1000
1,0.097549256,17.82898521,1,1.49E-05,1,0.056145421,13.64009438,0.079564001,370.6416965,0.0001,1000
1,0.097534098,16.10891215,1,0.000141096,4,0.008278142,37.44692648,0.016306948,69.57725814,0.0001,1000
1,0.097475024,15.79479967,1,0.000214511,4,0.023969114,1689.696532,0.033050292,53.63654704,0.0001,1000
1,0.097471121,17.46023462,0.07,5.13E-05,2,0.021206793,2267.618106,0.001400173,4078.722065,0.0001,1000
1,0.097356753,17.45772176,0.25,0.000214541,2,0.06569722,1791.611509,0.001107755,789.5919659,0.0001,1000
1,0.09733215,15.21492896,0.99,0.000836661,4,0.062723048,62.86714181,0.003324922,34.60137886,0.0001,1000
1,0.097284289,15.64938235,1,0.00041231,2,0.001462571,31.0450176,0.001083405,53.46257558,0.0001,1000
1,0.097194968,18.40168927,1,2.75E-05,4,0.031977681,17.42585157,0.002328467,878.7433686,0.0001,1000
1,0.097143684,18.66416659,1,2.81E-05,3,0.006350228,211.417791,0.0010424,1109.109633,0.0001,1000
1,0.097138973,19.3371014,1,1.08E-05,4,0.009838623,221.4152711,0.001276328,2185.384986,0.0001,1000
1,0.097128235,16.43648865,0.34,0.000166428,3,0.031619056,1661.123169,0.00346248,213.0878915,0.0001,1000
1,0.097024931,15.8214584,1,0.000237296,3,0.002140231,128.8901182,0.003847272,50.81394802,0.0001,1000
1,0.096980865,17.62356033,1,0.000534544,1,0.033050387,332.9217653,0.011471819,287.6389963,0.0001,1000
1,0.096684237,15.07125927,1,0.000841141,1,0.001954557,14.9463401,0.001493952,28.642267,0.0001,1000
1,0.096542749,16.23864146,1,0.00018983,1,0.00415526,25.75344059,0.022626786,53.27020001,0.0001,1000
1,0.09648529,15.92981409,1,9.60E-05,4,0.010147803,11.45520442,0.033798497,51.81889325,0.0001,1000
1,0.096274769,14.71307441,0.99,0.005832557,1,0.004030652,915.6439142,0.002373635,14.29390327,0.0001,1000
1,0.09624874,20.0489029,1,1.04E-05,3,0.05633889,58.35821331,0.002578658,4450.576395,0.0001,1000
1,0.096196436,14.90835919,1,0.00060505,3,0.021276745,235.5042197,0.079744409,17.95455902,0.0001,1000
1,0.096007852,17.85101646,1,0.000294694,2,0.037592869,159.2310114,0.001128866,470.6551205,0.0001,1000
1,0.095917166,19.75519817,1,1.74E-05,3,0.080173825,19.24209243,0.00129366,3352.689109,0.0001,1000
